DM_4crsol_c	Sink needed to allow p-Cresol to leave system
10FTHF5GLUtl	5-glutamyl-10FTHF transport, lysosomal
10FTHF5GLUtm	5-glutamyl-10FTHF transport, mitochondrial
10FTHF6GLUtl	6-glutamyl-10FTHF transport, lysosomal
10FTHF6GLUtm	6-glutamyl-10FTHF transport, mitochondrial
10FTHF7GLUtl	7-glutamyl-10FTHF transport, lysosomal
10FTHF7GLUtm	7-glutamyl-10FTHF transport, mitochondrial
10FTHFGLULL	10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming)
10FTHFGLULLm	10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming)
10FTHFtc	10-Formyltetrahydrofolateapicoplast transport
10FTHFtl	10-Formyltetrahydrofolate lysosomal transport via diffusion
10FTHFtm	10-Formyltetrahydrofolate mitochondrial transport via diffusion
10FTHFtx	10-Formyltetrahydrofolate glyoxysomal transport via diffusion
10M3HDHL	10-methyl-3-hydroxy-undecanoyl-ACP hydro-lyase 
10M3OACPO	10-methyl-3-oxo-dodecanoyl-ACP NADP oxidoreductase 
10M3OUO	10-methyl-3-oxo-undecanoyl-ACP NADP oxidoreductase 
10MDOD	10-methyl-dodecanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating 
10MTDAO	10-methyl-trans-dodec-2-enoyl-ACP NAD oxidoreductase A-specific 
10MTU2A	10-methyl-trans-undec-2-enoyl-ACP NAD oxidoreductase A-specific 
10MUAM	10-methyl-undecanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating 
11DOCRTSLte	Transport of 11-Deoxycortisol, Extracellular
11DOCRTSLtm	11-deoxycortisol intracellular transport
11DOCRTSLtr	11-deoxycortisol intracellular transport
11DOCRTSTRNte	Transport of 11-Deoxycorticosterone, Extracellular
11DOCRTSTRNtm	11-deoxycorticosterone intracellular transport
11DOCRTSTRNtr	11-deoxycorticosterone intracellular transport
11M3ODO	11-methyl-3-oxo-dodecanoyl-ACP NADP oxidoreductase 
11MDAMCA	11-methyl-dodecanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating 
11MHDOD	11-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase 
11MTRDOC	11-methyl-trans-dodec-2-enoyl-ACP NAD oxidoreductase A-specific 
12DGR120tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)
12DGR140tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)
12DGR141tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)
